story_name,target_age
ももたろう,4
ぶんぶくちゃがま,4
かぜのかみとこども,4
わらしべちょうじゃ,4
びんぼう神とふくの神,1
テングのすもう,3
かぐや姫,4
ききみみずきん,3.5
さんねんねたろう,4
たからゲタ,4
タニシちょうじゃ,3.5
いなばのしろウサギ,4
はなさかじいさん,4
なぞなぞおばけ,7
まんじゅうこわい,4.5
しちふくじん,4
かしこいむすめ,5
ねずみのすもう,4
てんぷくちふく,4
こぶとりじいさん,3.5
あかたろう,3
こそだてゆうれい,3.5
ゆきおんな,4
あまのはごろも,4
いっすんぼうし,4
しあわせのエンドウマメ,5
おにはうち_ふくはそと,4.5
お日さまとお月さま,2.5
うしわかまる,7
ねずみのよめいり,4
かちかちやま,4
うらしまたろう,4
うりこひめ,4
かさじぞう,4
したきりすずめ,4
せつぶんのオニ,3
てんぐのかくれみの,4
ちからたろう,4
かさのえ,3
いっきゅうさん,4
きんたろう,4
さるかにがっせん,4
たつのこたろう,8
つるのおんがえし,4
おむすびころりん,4
フクロウのそめものや,2
ネズミきょう,2
ふるやのもり,4
サルじぞう,4
しょうねんと子ダヌキ,4
三びきの子ブタ,4
ジャックとまめの木,3.5
しあわせの王子,7
アラジンとまほうのランプ,4
三びきのクマ,4
ハーメルンのふえふき男,8.5
きたかぜのくれたテーブルかけ,5.5
わがままなきょじん,4
きんの糸と虹,9
オオカミしょうねん,5.5
アリとキリギリス,3
ウサギとカメ,4
きたかぜとたいよう,5.5
すっぱいぶどう,8
にくをくわえたイヌ,11
きんのオノぎんのオノ,4
おうさまの耳はロバの耳,7
ネズミのおんがえし,7.5
ひきょうなこうもり,8
マッチうりの少女,8.5
はだかのおうさま,4
にんぎょ姫,4
みにくいアヒルの子,4
おやゆび姫,3.5
あかいくつ,4
ゆきのじょうおう,4
はくちょうのおうじ,4
エンドウマメのうえにねたお姫さま,4
ゆきだるま,3
モミの木,6.5
シンデレラ,4
あかずきんちゃん,4
オオカミと七ひきの子ヤギ,4
ブレーメンのおんがくたい,6.5
ヘンゼルとグレーテル,3.5
しらゆき姫,4
ながぐつをはいたネコ,6.5
ねむり姫,4
くつやのこびと,4
カエルのおうさま,4
しっぽの釣り,3
ゆうれいのタマゴ,5.5
